"id","title","authors","venue","year"
304586,"The WASA2 object-oriented workflow management system","Gottfried Vossen, Mathias Weske","International Conference on Management of Data",1999
304587,"A user-centered interface for querying distributed multimedia databases","Isabel F. Cruz, Kimberly M. James","International Conference on Management of Data",1999
304589,"World Wide Database-integrating the Web, CORBA and databases","Athman Bouguettaya, Boualem Benatallah, Lily Hendra, James Beard, Kevin Smith, Mourad Quzzani","International Conference on Management of Data",1999
304590,"XML-based information mediation with MIX","Chaitan Baru, Amarnath Gupta, Bertram Lud&#228;scher, Richard Marciano, Yannis Papakonstantinou, Pavel Velikhov, Vincent Chu","International Conference on Management of Data",1999
304582,"The CCUBE constraint object-oriented database system","Alexander Brodsky, Victor E. Segal, Jia Chen, Paval A. Exarkhopoulo","International Conference on Management of Data",1999
304583,"The Cornell Jaguar project: adding mobility to PREDATOR","Phillippe Bonnet, Kyle Buza, Zhiyuan Chan, Victor Cheng, Randolph Chung, Takako Hickey, Ryan Kennedy, Daniel Mahashin, Tobias Mayr, Ivan Oprencak, Praveen Seshadri, Hubert Siu","International Conference on Management of Data",1999
304584,"The active MultiSync controller of the cubetree storage organization","Nick Roussopoulos, Yannis Kotidis, Yannis Sismanis","International Conference on Management of Data",1999
304585,"The Jungle database search engine","Michael B&#246;hlen, Linas Bukauskas, Curtis Dyreson","International Conference on Management of Data",1999
306112,"ADEPT: an agent-based approach to business process management","N. R. Jennings, T. J. Norman, P. Faratin","ACM SIGMOD Record ",1998
306115,"A componentized architecture for dynamic electronic markets","Benny Reich, Israel Ben-Shaul","ACM SIGMOD Record ",1998
306119,"Design and implementation of RMP: a virtual electronic market place","Susanne Boll, Wolfgang Klas, Bernard Battaglin","ACM SIGMOD Record ",1998